ny,nx,dofs_t3,disp_t3,dofs_t6,disp_t6,dofs_q4,disp_q4,dofs_q8,disp_q8
9,2,240,-0.012264305157238668,370,-0.014489952187988908,240,-0.013243351286488403,370,-0.01449302747065088
7,40,2624,-0.014719436869999374,4398,-0.014877984394320868,2624,-0.01487273390425089,4398,-0.014878211249633315
7,34,2240,-0.014713474088803706,3750,-0.014876853425180341,2240,-0.014869815000116249,3750,-0.014877080435019823
7,29,1920,-0.014705593923153664,3210,-0.014875477851295693,1920,-0.01486602643881797,3210,-0.0148757039258278
7,24,1600,-0.01469249507914996,2670,-0.014873313891255702,1600,-0.01485979122916389,2670,-0.014873536416526873
7,21,1408,-0.014679875054142082,2346,-0.014871258132210416,1408,-0.014853785236728827,2346,-0.014871475689589705
7,18,1216,-0.014660518031086955,2022,-0.01486806160281175,1216,-0.014844514284833658,2022,-0.014868269813839681
7,15,1024,-0.014628597442726243,1698,-0.014862629070794624,1024,-0.014829043348113666,1698,-0.014862819732430683
7,13,896,-0.014594325346676871,1482,-0.014856641654977059,896,-0.01481222398070551,1482,-0.014856812704813037
7,11,768,-0.014540689843767555,1266,-0.014847156919719464,768,-0.014785596186935604,1266,-0.014847298207623628
7,9,640,-0.014450757016845952,1050,-0.014831359087056418,640,-0.01474035428940871,1050,-0.01483145583027122
7,8,576,-0.014381579605249767,942,-0.014819445076084832,576,-0.014705115032816445,942,-0.014819512588050091
7,7,512,-0.014285307660944168,834,-0.014803235233959393,512,-0.01465541005041656,834,-0.014803268550603915
7,6,448,-0.01414667593412015,726,-0.014780525906289543,448,-0.014582289630985486,726,-0.014780524488240493
7,5,384,-0.013938945499189026,618,-0.014747431430617174,384,-0.01446866118047369,618,-0.01474739607567364
7,4,320,-0.0136139084137915,510,-0.014696645241142127,320,-0.014278921546971742,510,-0.014696668325311302
7,3,256,-0.013086882113328598,402,-0.014614289268013204,256,-0.01393190771605905,402,-0.014614440243430452
7,2,192,-0.012255804742501089,294,-0.014490912116257988,192,-0.013244698706999795,294,-0.014493914303504295
5,40,1968,-0.014586987804599017,3258,-0.014873177506730272,1968,-0.01486790691120913,3258,-0.014873682638262295
5,34,1680,-0.014581401735965865,2778,-0.014872021081347948,1680,-0.014864980582551422,2778,-0.014872531845186247
5,29,1440,-0.014574016926097895,2378,-0.0148706033666328,1440,-0.014861172526194946,2378,-0.014871119709368504
5,24,1200,-0.014561803240669266,1978,-0.014868429604388096,1200,-0.014854962504546937,1978,-0.014868951572722286
5,21,1056,-0.01455012981958821,1738,-0.01486646471212334,1056,-0.01484907852453954,1738,-0.014866988859242683
5,18,912,-0.014532374265750997,1498,-0.014863575312914998,912,-0.01484015874969951,1498,-0.014864098378361413
5,15,768,-0.014503326082425475,1258,-0.014858927253257718,768,-0.014825537878833115,1258,-0.014859440720788736
5,13,672,-0.014472243460989692,1098,-0.014853940136819378,672,-0.014809782504082946,1098,-0.014854436639198032
5,11,576,-0.014423515919303175,938,-0.014846019371159104,576,-0.014784808939117225,938,-0.014846481993644777
5,9,480,-0.01434123352115217,778,-0.014832433090738846,480,-0.014741912784486283,778,-0.014832831390528125
5,8,432,-0.014277428338445206,698,-0.014821825894526708,432,-0.014708073246895258,698,-0.014822174264152669
5,7,384,-0.01418801628460408,618,-0.014806973620551656,384,-0.014659843818449368,618,-0.014807255837150441
5,6,336,-0.014058291190415774,538,-0.014785554008266732,336,-0.014588164120446175,538,-0.014785753589491323
5,5,288,-0.013862354172431875,458,-0.01475350536841517,288,-0.014475772747279987,458,-0.014753596497570881
5,4,240,-0.013553110161415608,378,-0.01470326677577363,240,-0.014286807131070889,378,-0.01470332575337408
5,3,192,-0.013046593116298131,298,-0.014620568861504153,192,-0.013939648917197013,298,-0.014620451543436904
5,2,144,-0.012238105240999922,218,-0.014495235715268107,144,-0.013250525299468073,218,-0.014498154433512532
