ny,nx,dofs_t3,disp_t3,dofs_t6,disp_t6,dofs_q4,disp_q4,dofs_q8,disp_q8
15,13,1792,-0.014708239246997575,3018,-0.014936371309872352,1792,-0.014821794611847867,3018,-0.014933125700427164
15,11,1536,-0.014647776583790871,2578,-0.014913750744305721,1536,-0.014791326925131033,2578,-0.014909695682487059
15,9,1280,-0.014549164492866848,2138,-0.014884221329194567,1280,-0.014742280305659782,2138,-0.01487989311450879
15,8,1152,-0.014474564149147339,1918,-0.014865361757682306,1152,-0.014705265139260454,1918,-0.014861098504197078
15,7,1024,-0.014371738891721643,1698,-0.014842253264737548,1024,-0.01465394307706648,1698,-0.014838199173663438
15,6,896,-0.014224882836732799,1478,-0.014812784718177301,896,-0.01457942953975215,1478,-0.014809045945207575
15,5,768,-0.014006424296386082,1258,-0.014773182644618143,768,-0.01446470676990766,1258,-0.014770004162948035
15,4,640,-0.013667025384883607,1038,-0.01471628383481066,640,-0.01427425810221387,1038,-0.014713566161558451
15,3,512,-0.013121147176453312,818,-0.014628416611493287,512,-0.013927034579425492,818,-0.014627497146561334
15,2,384,-0.012268413911538522,598,-0.01450024826741005,384,-0.013239939814241214,598,-0.01450100989743287
11,40,3936,-0.014839727437550616,6678,-0.015128553840072001,3936,-0.014910009045052325,6678,-0.015201437295420773
11,34,3360,-0.014829107777142992,5694,-0.01511340110473396,3360,-0.014902369600658836,5694,-0.015173172198882137
11,29,2880,-0.014816831665949028,4874,-0.015096767863387262,2880,-0.014894236027518347,4874,-0.015143735513042293
11,24,2400,-0.014798610838412524,4054,-0.015074830334429521,2400,-0.014883165433766492,4054,-0.015107480818349518
11,21,2112,-0.014782311728766569,3562,-0.015057972806858834,2112,-0.014873876593066692,3562,-0.015081624467874456
11,18,1824,-0.014758513453857505,3070,-0.015037092356602043,1824,-0.014860871593128478,3070,-0.01505187646204186
11,15,1536,-0.014720999799496688,2578,-0.015010452640314127,1536,-0.014841072530437394,2578,-0.015017092328772349
11,13,1344,-0.01468209857914093,2250,-0.014988102642202064,1344,-0.014821022273588736,2250,-0.014990097305187234
11,11,1152,-0.014622843076107847,1922,-0.014960415062167682,1152,-0.014790970944805188,1922,-0.014958693151553286
11,9,960,-0.014525848277085486,1594,-0.014924714423965259,960,-0.014742304720982542,1594,-0.0149204480456922
11,8,864,-0.014452309607252427,1430,-0.014902320898615125,864,-0.014705446091350063,1430,-0.01489727888036654
11,7,768,-0.01435081813567802,1266,-0.01487537326820797,768,-0.014654246568745914,1266,-0.014869926108776011
11,6,672,-0.014205701840591329,1102,-0.014841764360781386,672,-0.0145798107140774,1102,-0.014836224053936184
11,5,576,-0.013989592166347202,938,-0.014797732007522197,576,-0.014465106435418415,938,-0.01479265352203559
11,4,480,-0.013653423037310018,774,-0.01473613148686664,480,-0.014274596740976963,774,-0.014731387679552638
11,3,384,-0.013111844104800327,610,-0.01464330522730436,384,-0.01392719459076512,610,-0.014641201932602536
11,2,288,-0.012263953555952459,446,-0.014509941409070908,288,-0.01323975109690557,446,-0.014508661805556855
9,40,3280,-0.0148239920793372,5538,-0.01520563612307609,3280,-0.014923797705073377,5538,-0.01531660511795023
9,34,2800,-0.014811023523866094,4722,-0.015188445623489076,2800,-0.014913662493179616,4722,-0.015284295566491263
9,29,2400,-0.014796366016056077,4042,-0.015168866428634535,2400,-0.014902898964752975,4042,-0.015249027235700801
9,24,2000,-0.014775719279703253,3362,-0.015142704588382648,2000,-0.014889004919818535,3362,-0.01520398935950467
9,21,1760,-0.01475819235760299,2954,-0.015122646341653348,1760,-0.014878155032521977,2954,-0.015171120075103966
9,18,1520,-0.014733559927569202,2546,-0.01509797538861282,1520,-0.014863876921417593,2546,-0.015132839751169415
9,15,1280,-0.01469581373624984,2138,-0.015066734066546662,1280,-0.014843230065295527,2138,-0.015087868559144237
9,13,1120,-0.0146571957906989,1866,-0.015040639699621236,1120,-0.014822878909792326,1866,-0.015053135469995984
9,11,960,-0.014598661845308308,1594,-0.015008408080130318,960,-0.014792711879947008,1594,-0.015013258270355757
9,9,800,-0.014502971050677788,1322,-0.014967078128687925,800,-0.014744049965013613,1322,-0.014965869372446537
9,8,720,-0.014430397881681847,1186,-0.014941371911778991,720,-0.014707208244158297,1186,-0.014937908783435042
9,7,640,-0.014330181004001056,1050,-0.014910738756025945,640,-0.014656014368499684,1050,-0.01490564663844995
