ny,nx,dofs_t3,disp_t3,dofs_t6,disp_t6,dofs_q4,disp_q4,dofs_q8,disp_q8
15,15,2048,-0.014749534579276595,3458,-0.014956084242672987,2048,-0.01484370603769368,3458,-0.014954164207021451
15,13,1792,-0.014709691329495928,3018,-0.01493785849843055,1792,-0.014823262519874647,3018,-0.01493462164070126
15,11,1536,-0.014649217201563878,2578,-0.014915233606336327,1536,-0.014792788012040222,2578,-0.014911185764885992
15,9,1280,-0.014550588646022086,2138,-0.014885699575799822,1280,-0.014743731719938712,2138,-0.014881377024912218
15,8,1152,-0.01447597710267578,1918,-0.014866837568721475,1152,-0.014706709791893835,1918,-0.014862579206826893
15,7,1024,-0.014373137908002058,1698,-0.014843726530425332,1024,-0.01465537881191686,1698,-0.014839676591327127
15,6,896,-0.014226264850282095,1478,-0.01481425530153688,896,-0.014580853034570117,1478,-0.01481051997007103
15,5,768,-0.014007787461249976,1258,-0.014774650348625785,768,-0.01446611290361915,1258,-0.014771474714233932
15,4,640,-0.013668375142830383,1038,-0.014717748310489326,640,-0.014275639622040164,1038,-0.014715032901869554
15,3,512,-0.013122516989261321,818,-0.014629877003076752,512,-0.013928386603710758,818,-0.014628959795114888
15,2,384,-0.012269920035363344,598,-0.014501701825285969,384,-0.013241300213617439,598,-0.014502465467965575
11,40,3936,-0.014841762053649971,6678,-0.015130617301448995,3936,-0.014912041260471489,6678,-0.015203525100461614
11,34,3360,-0.014831124936506896,5694,-0.015115450363300956,3360,-0.01490438744330235,5694,-0.015175248494507198
11,29,2880,-0.014818831810353348,4874,-0.01509880301774563,2880,-0.014896239889079134,4874,-0.015145799528746449
11,24,2400,-0.014800591423873723,4054,-0.015076849332106602,2400,-0.01488515345730312,4054,-0.015109529367970085
11,21,2112,-0.014784279008216928,3562,-0.015059981096104813,2112,-0.014875854110515887,3562,-0.015083661728860042
11,18,1824,-0.014760465676874529,3070,-0.015039089100134226,1824,-0.014862837611508053,3070,-0.015053900522593934
11,15,1536,-0.014722934101899616,2578,-0.015012436868635334,1536,-0.01484302553194513,2578,-0.015019100939778176
