ny,nx,dofs_t3,disp_t3,dofs_t6,disp_t6,dofs_q4,disp_q4,dofs_q8,disp_q8
15,4,640,-0.013667025384884589,1038,-0.014716283834494992,640,-0.014274258102215947,1038,-0.014713566161614622
15,3,512,-0.013121147176438308,818,-0.014628416611275206,512,-0.013927034579401525,818,-0.014627497146646308
15,2,384,-0.012268413911404437,598,-0.014500248267326734,384,-0.013239939814051136,598,-0.014501009897534925
11,40,3936,-0.014839727437483139,6678,-0.015128553840007573,3936,-0.014910009045071382,6678,-0.015201437295453691
11,34,3360,-0.014829107777142896,5694,-0.015113401104606771,3360,-0.014902369600672172,5694,-0.015173172198868889
11,29,2880,-0.014816831665888925,4874,-0.0150967678633372,2880,-0.014894236027520085,4874,-0.01514373551301438
11,24,2400,-0.014798610838421869,4054,-0.015074830334414544,2400,-0.014883165433767926,4054,-0.015107480818315968
11,21,2112,-0.014782311728740595,3562,-0.015057972806906916,2112,-0.014873876593051614,3562,-0.015081624467843873
11,18,1824,-0.01475851345389999,3070,-0.015037092356519486,1824,-0.014860871593099255,3070,-0.015051876461965614
11,15,1536,-0.014720999799512111,2578,-0.015010452640290271,1536,-0.014841072530443308,2578,-0.015017092328762933
11,13,1344,-0.014682098579100246,2250,-0.014988102642212136,1344,-0.014821022273594322,2250,-0.014990097305116216
11,11,1152,-0.014622843076081849,1922,-0.014960415062251141,1152,-0.014790970944872004,1922,-0.014958693151647705
11,9,960,-0.014525848276984112,1594,-0.014924714423902589,960,-0.014742304720883408,1594,-0.014920448045609911
11,8,864,-0.014452309607159024,1430,-0.01490232089858637,864,-0.01470544609133123,1430,-0.014897278880243626
11,7,768,-0.014350818135750449,1266,-0.014875373268205818,768,-0.014654246568650421,1266,-0.014869926108702003
11,6,672,-0.014205701840721764,1102,-0.014841764360732557,672,-0.014579810714108847,1102,-0.014836224053918878
11,5,576,-0.01398959216628261,938,-0.014797732007568041,576,-0.014465106435391182,938,-0.014792653522139515
11,4,480,-0.013653423037218278,774,-0.014736131487009837,480,-0.014274596741035091,774,-0.014731387679435047
11,3,384,-0.013111844104795482,610,-0.01464330522751205,384,-0.013927194590772837,610,-0.014641201932954177
11,2,288,-0.012263953556041741,446,-0.014509941409130797,288,-0.01323975109693265,446,-0.014508661805517006
9,40,3280,-0.014823992079302436,5538,-0.015205636123151055,3280,-0.014923797705076621,5538,-0.015316605118033285
9,34,2800,-0.01481102352389661,4722,-0.015188445623447212,2800,-0.014913662493164654,4722,-0.015284295566479585
9,29,2400,-0.014796366015970834,4042,-0.015168866428662726,2400,-0.014902898964752422,4042,-0.015249027235681459
9,24,2000,-0.0147757192797259,3362,-0.015142704588344786,2000,-0.01488900491981219,3362,-0.0152039893595761
9,21,1760,-0.014758192357559357,2954,-0.015122646341631279,1760,-0.014878155032524484,2954,-0.015171120075113077
9,18,1520,-0.014733559927574783,2546,-0.015097975388538097,1520,-0.014863876921414913,2546,-0.015132839751145528
9,15,1280,-0.014695813736279456,2138,-0.015066734066456281,1280,-0.014843230065320318,2138,-0.015087868559185967
9,13,1120,-0.014657195790654344,1866,-0.015040639699595699,1120,-0.014822878909772115,1866,-0.01505313546995101
9,11,960,-0.0145986618453261,1594,-0.015008408080087354,960,-0.01479271187992137,1594,-0.015013258270358208
9,9,800,-0.014502971050799065,1322,-0.0149670781287751,800,-0.014744049965033661,1322,-0.014965869372512765
9,8,720,-0.01443039788162439,1186,-0.014941371911812542,720,-0.014707208244142338,1186,-0.014937908783567802
9,7,640,-0.014330181004012179,1050,-0.014910738755982453,640,-0.014656014368564434,1050,-0.014905646638389506
9,6,560,-0.014186780371861099,914,-0.014873050579811803,560,-0.014581551913581764,914,-0.014866909357320499
9,5,480,-0.013973028776172439,778,-0.014824533820337011,480,-0.0144667596496713,778,-0.01481829425694687
9,4,400,-0.013640126069399402,642,-0.014758039502955999,400,-0.01427605565425414,642,-0.014751642694577105
9,3,320,-0.013102888418613444,506,-0.01465989660717575,320,-0.013928273108218097,506,-0.014656776203285262
9,2,240,-0.012259731448131576,370,-0.014520700931546374,240,-0.013240070187875971,370,-0.01451733360974848
7,40,2624,-0.014803766033996158,4398,-0.015341968170703902,2624,-0.014959878359477066,4398,-0.015515754026982928
7,34,2240,-0.01478795444363857,3750,-0.015324362123530904,2240,-0.014946955198968903,3750,-0.015482098806256873
7,29,1920,-0.01476925366000565,3210,-0.015301645231207174,1920,-0.014931946666971806,3210,-0.015441398945034775
7,24,1600,-0.014743124335401437,2670,-0.015268950932614905,1600,-0.014912010475810346,2670,-0.015385246232165964
7,21,1408,-0.014721908844604044,2346,-0.015243080340631753,1408,-0.014896896342943623,2346,-0.015342122733217866
7,18,1216,-0.014693714154146243,2022,-0.015211075260865757,1216,-0.014878230384327729,2022,-0.015290245172977893
7,15,1024,-0.014653114450575589,1698,-0.015170869263965627,1024,-0.01485353081355869,1698,-0.015227749422671473
